Team1, Team2, Score1, Score2, WinningTeam
Texas Rangers, Tampa Bay Rays, 6, 4, 1
Arizona D'Backs, Washington Nationals, 11, 6, 1
Minnesota Twins, Los Angeles Angels, 3, 10, 2
Atlanta Braves, Chicago Cubs, 5, 2, 1
Cleveland Indians, Cincinnati Reds, 3, 10, 2
San Francisco Giants, Miami Marlins, 1, 4, 2
Pittsburgh Pirates, Milwaukee Brewers, 6, 1, 1
Tampa Bay Rays, New York Yankees, 8, 2, 1
Detroit Tigers, Oakland Athletics, 0, 3, 2
St. Louis Cardinals, Philadelphia Phillies, 2, 9, 2
Los Angeles Dodgers, San Diego Padres, 11, 6, 1
Houston Astros, Seattle Mariners, 5, 6, 2
Baltimore Orioles, Texas Rangers, 5, 2, 1
Arizona D'Backs, Washington Nationals, 0, 1, 2
Chicago White Sox, Boston Red Sox, 4, 7, 2
Atlanta Braves, Chicago Cubs, 4, 13, 2
Cleveland Indians, Cincinnati Reds, 2, 3, 2
New York Mets, Colorado Rockies, 4, 3, 1
New York Mets, Colorado Rockies, 2, 7, 2
Toronto Blue Jays, Kansas City Royals, 5, 1, 1
Toronto Blue Jays, Kansas City Royals, 2, 3, 2
San Francisco Giants, Miami Marlins, 6, 7, 2
Pittsburgh Pirates, Milwaukee Brewers, 1, 7, 2
Tampa Bay Rays, New York Yankees, 6, 3, 1
Detroit Tigers, Oakland Athletics, 0, 7, 2
St. Louis Cardinals, Philadelphia Phillies, 9, 4, 1
Los Angeles Dodgers, San Diego Padres, 2, 0, 1
Houston Astros, Seattle Mariners, 1, 0, 1
Baltimore Orioles, Texas Rangers, 6, 1, 1
Arizona D'Backs, Washington Nationals, 2, 6, 2
Chicago White Sox, Boston Red Sox, 3, 2, 1
Chicago White Sox, Boston Red Sox, 5, 1, 1
Atlanta Braves, Chicago Cubs, 13, 4, 1
Cleveland Indians, Cincinnati Reds, 6, 3, 1
New York Mets, Colorado Rockies, 2, 1, 1
Toronto Blue Jays, Kansas City Royals, 0, 2, 2
San Francisco Giants, Miami Marlins, 1, 0, 1
Pittsburgh Pirates, Milwaukee Brewers, 6, 5, 1
Tampa Bay Rays, New York Yankees, 4, 2, 1
Detroit Tigers, Oakland Athletics, 2, 3, 2
St. Louis Cardinals, Philadelphia Phillies, 0, 2, 2
Los Angeles Dodgers, San Diego Padres, 2, 5, 2
Houston Astros, Seattle Mariners, 2, 7, 2
Baltimore Orioles, Texas Rangers, 0, 1, 2
Arizona D'Backs, Washington Nationals, 5, 2, 1
Texas Rangers, Los Angeles Angels, 6, 4, 1
Chicago White Sox, Boston Red Sox, 4, 11, 2
Tampa Bay Rays, Kansas City Royals, 4, 1, 1
San Francisco Giants, Philadelphia Phillies, 2, 0, 1
Milwaukee Brewers, San Diego Padres, 3, 1, 1
Los Angeles Dodgers, Seattle Mariners, 3, 4, 2
St. Louis Cardinals, Washington Nationals, 12, 5, 1
Texas Rangers, Los Angeles Angels, 2, 6, 2
Toronto Blue Jays, Boston Red Sox, 2, 4, 2
New York Mets, Chicago Cubs, 1, 3, 2
Arizona D'Backs, Cincinnati Reds, 5, 4, 1
Chicago White Sox, Cleveland Indians, 8, 5, 1
Houston Astros, Colorado Rockies, 2, 6, 2
Tampa Bay Rays, Kansas City Royals, 14, 7, 1
Baltimore Orioles, Miami Marlins, 7, 5, 1
Atlanta Braves, New York Yankees, 1, 3, 2
Minnesota Twins, Oakland Athletics, 0, 7, 2
Minnesota Twins, Oakland Athletics, 0, 1, 2
San Francisco Giants, Philadelphia Phillies, 10, 7, 1
Milwaukee Brewers, San Diego Padres, 6, 0, 1
Los Angeles Dodgers, Seattle Mariners, 1, 0, 1
St. Louis Cardinals, Washington Nationals, 2, 3, 2
Texas Rangers, Los Angeles Angels, 7, 4, 1
Toronto Blue Jays, Boston Red Sox, 6, 3, 1
New York Mets, Chicago Cubs, 4, 16, 2
Arizona D'Backs, Cincinnati Reds, 8, 5, 1
Houston Astros, Colorado Rockies, 3, 6, 2
Pittsburgh Pirates, Detroit Tigers, 3, 2, 1
Pittsburgh Pirates, Detroit Tigers, 2, 5, 2
Tampa Bay Rays, Kansas City Royals, 8, 9, 2
Baltimore Orioles, Miami Marlins, 0, 3, 2
Atlanta Braves, New York Yankees, 4, 1, 1
Minnesota Twins, Oakland Athletics, 12, 13, 2
San Francisco Giants, Philadelphia Phillies, 5, 6, 2
Milwaukee Brewers, San Diego Padres, 4, 2, 1
St. Louis Cardinals, Washington Nationals, 0, 1, 2
