Team1, Team2, Score1, Score2, WinningTeam
Los Angeles Angels, Oakland Athletics, 4, 8, 2
Minnesota Twins, Seattle Mariners, 7, 2, 1
Arizona D'Backs, San Francisco Giants, 7, 13, 2
Miami Marlins, St. Louis Cardinals, 0, 1, 2
New York Yankees, Toronto Blue Jays, 3, 2, 1
Pittsburgh Pirates, Washington Nationals, 1, 3, 2
Detroit Tigers, Los Angeles Angels, 5, 7, 2
St. Louis Cardinals, Atlanta Braves, 0, 4, 2
Baltimore Orioles, Cleveland Indians, 3, 10, 2
Milwaukee Brewers, Colorado Rockies, 3, 7, 2
Chicago White Sox, Houston Astros, 2, 10, 2
Chicago Cubs, New York Mets, 2, 0, 1
Cincinnati Reds, San Diego Padres, 4, 6, 2
Tampa Bay Rays, Seattle Mariners, 5, 6, 2
Arizona D'Backs, San Francisco Giants, 3, 10, 2
New York Yankees, Toronto Blue Jays, 8, 4, 1
Detroit Tigers, Los Angeles Angels, 3, 11, 2
Los Angeles Dodgers, Arizona D'Backs, 3, 0, 1
St. Louis Cardinals, Atlanta Braves, 1, 9, 2
Toronto Blue Jays, Baltimore Orioles, 1, 7, 2
Miami Marlins, Chicago Cubs, 10, 2, 1
Milwaukee Brewers, Colorado Rockies, 5, 6, 2
Chicago White Sox, Houston Astros, 1, 2, 2
Boston Red Sox, Kansas City Royals, 3, 5, 2
Oakland Athletics, New York Yankees, 5, 3, 1
Cleveland Indians, Pittsburgh Pirates, 10, 11, 2
Cincinnati Reds, San Diego Padres, 2, 8, 2
Tampa Bay Rays, Seattle Mariners, 1, 5, 2
Philadelphia Phillies, San Francisco Giants, 3, 5, 2
Minnesota Twins, Texas Rangers, 7, 5, 1
New York Mets, Washington Nationals, 0, 1, 2
Detroit Tigers, Los Angeles Angels, 3, 8, 2
Los Angeles Dodgers, Arizona D'Backs, 9, 3, 1
Toronto Blue Jays, Baltimore Orioles, 10, 7, 1
Miami Marlins, Chicago Cubs, 11, 1, 1
Milwaukee Brewers, Colorado Rockies, 6, 5, 1
Chicago White Sox, Houston Astros, 3, 7, 2
Boston Red Sox, Kansas City Royals, 7, 1, 1
Oakland Athletics, New York Yankees, 5, 7, 2
Cleveland Indians, Pittsburgh Pirates, 3, 6, 2
Cincinnati Reds, San Diego Padres, 5, 7, 2
Tampa Bay Rays, Seattle Mariners, 5, 6, 2
Philadelphia Phillies, San Francisco Giants, 13, 6, 1
Minnesota Twins, Texas Rangers, 3, 2, 1
New York Mets, Washington Nationals, 5, 1, 1
New York Mets, Washington Nationals, 2, 6, 2
Detroit Tigers, Los Angeles Angels, 5, 3, 1
Los Angeles Dodgers, Arizona D'Backs, 9, 8, 1
St. Louis Cardinals, Atlanta Braves, 9, 1, 1
St. Louis Cardinals, Atlanta Braves, 0, 1, 2
Toronto Blue Jays, Baltimore Orioles, 7, 4, 1
Miami Marlins, Chicago Cubs, 0, 2, 2
Milwaukee Brewers, Colorado Rockies, 7, 6, 1
Chicago White Sox, Houston Astros, 2, 8, 2
Boston Red Sox, Kansas City Royals, 3, 7, 2
Oakland Athletics, New York Yankees, 1, 2, 2
Cleveland Indians, Pittsburgh Pirates, 2, 1, 1
Cincinnati Reds, San Diego Padres, 2, 3, 2
Tampa Bay Rays, Seattle Mariners, 2, 6, 2
Philadelphia Phillies, San Francisco Giants, 2, 11, 2
Minnesota Twins, Texas Rangers, 4, 2, 1
New York Mets, Washington Nationals, 2, 5, 2
Milwaukee Brewers, Arizona D'Backs, 1, 5, 2
Houston Astros, Baltimore Orioles, 10, 2, 1
Cleveland Indians, Chicago Cubs, 4, 0, 1
Cincinnati Reds, Minnesota Twins, 5, 7, 2
Atlanta Braves, New York Mets, 2, 4, 2
Atlanta Braves, New York Mets, 1, 0, 1
Los Angeles Dodgers, San Diego Padres, 2, 6, 2
Oakland Athletics, Texas Rangers, 3, 8, 2
San Francisco Giants, Los Angeles Angels, 5, 0, 1
Milwaukee Brewers, Arizona D'Backs, 5, 0, 1
Houston Astros, Baltimore Orioles, 3, 1, 1
Cleveland Indians, Chicago Cubs, 1, 7, 2
St. Louis Cardinals, Detroit Tigers, 2, 8, 2
Toronto Blue Jays, Miami Marlins, 2, 1, 1
Cincinnati Reds, Minnesota Twins, 10, 7, 1
Kansas City Royals, New York Yankees, 6, 5, 1
Atlanta Braves, New York Mets, 3, 0, 1
Washington Nationals, Philadelphia Phillies, 3, 2, 1
Chicago White Sox, Pittsburgh Pirates, 3, 6, 2
Los Angeles Dodgers, San Diego Padres, 2, 3, 2
Colorado Rockies, Seattle Mariners, 1, 2, 2
Boston Red Sox, Tampa Bay Rays, 9, 5, 1
Oakland Athletics, Texas Rangers, 13, 6, 1
San Francisco Giants, Los Angeles Angels, 9, 3, 1
Milwaukee Brewers, Arizona D'Backs, 3, 2, 1
Houston Astros, Baltimore Orioles, 13, 0, 1
St. Louis Cardinals, Detroit Tigers, 2, 6, 2
Toronto Blue Jays, Miami Marlins, 3, 1, 1
Kansas City Royals, New York Yankees, 5, 6, 2
Atlanta Braves, New York Mets, 3, 7, 2
Washington Nationals, Philadelphia Phillies, 13, 12, 1
Chicago White Sox, Pittsburgh Pirates, 4, 3, 1
Los Angeles Dodgers, San Diego Padres, 3, 5, 2
Colorado Rockies, Seattle Mariners, 5, 2, 1
Boston Red Sox, Tampa Bay Rays, 2, 8, 2
Oakland Athletics, Texas Rangers, 3, 5, 2
Atlanta Braves, Cincinnati Reds, 3, 5, 2
Houston Astros, Detroit Tigers, 12, 3, 1
Chicago Cubs, Los Angeles Dodgers, 4, 0, 1
Washington Nationals, Miami Marlins, 7, 3, 1
Cleveland Indians, Minnesota Twins, 4, 1, 1
Kansas City Royals, New York Yankees, 1, 8, 2
Pittsburgh Pirates, St. Louis Cardinals, 8, 2, 1
Boston Red Sox, Tampa Bay Rays, 0, 1, 2
Oakland Athletics, Texas Rangers, 5, 1, 1
Baltimore Orioles, Toronto Blue Jays, 0, 9, 2
New York Yankees, Boston Red Sox, 3, 5, 2
Seattle Mariners, Chicago White Sox, 9, 3, 1
Atlanta Braves, Cincinnati Reds, 3, 2, 1
Chicago Cubs, Los Angeles Dodgers, 2, 6, 2
Washington Nationals, Miami Marlins, 2, 11, 2
Colorado Rockies, Milwaukee Brewers, 4, 5, 2
Cleveland Indians, Minnesota Twins, 7, 8, 2
Philadelphia Phillies, New York Mets, 1, 2, 2
Philadelphia Phillies, New York Mets, 2, 1, 1
Arizona D'Backs, San Diego Padres, 5, 11, 2
Oakland Athletics, San Francisco Giants, 0, 2, 2
Pittsburgh Pirates, St. Louis Cardinals, 5, 4, 1
Los Angeles Angels, Tampa Bay Rays, 3, 4, 2
Kansas City Royals, Texas Rangers, 4, 9, 2
Baltimore Orioles, Toronto Blue Jays, 6, 5, 1
New York Yankees, Boston Red Sox, 2, 4, 2
Seattle Mariners, Chicago White Sox, 3, 2, 1
Atlanta Braves, Cincinnati Reds, 1, 4, 2
Houston Astros, Detroit Tigers, 1, 3, 2
Houston Astros, Detroit Tigers, 3, 2, 1
Chicago Cubs, Los Angeles Dodgers, 2, 3, 2
Washington Nationals, Miami Marlins, 2, 3, 2
Colorado Rockies, Milwaukee Brewers, 4, 10, 2
Philadelphia Phillies, New York Mets, 3, 4, 2
Arizona D'Backs, San Diego Padres, 10, 1, 1
Oakland Athletics, San Francisco Giants, 5, 6, 2
Pittsburgh Pirates, St. Louis Cardinals, 1, 3, 2
Los Angeles Angels, Tampa Bay Rays, 3, 13, 2
Kansas City Royals, Texas Rangers, 0, 8, 2
Baltimore Orioles, Toronto Blue Jays, 4, 12, 2
New York Yankees, Boston Red Sox, 2, 9, 2
Seattle Mariners, Chicago White Sox, 5, 7, 2
Atlanta Braves, Cincinnati Reds, 4, 0, 1
Houston Astros, Detroit Tigers, 1, 2, 2
Chicago Cubs, Los Angeles Dodgers, 1, 7, 2
Washington Nationals, Miami Marlins, 5, 1, 1
Colorado Rockies, Milwaukee Brewers, 0, 5, 2
Cleveland Indians, Minnesota Twins, 2, 8, 2
Philadelphia Phillies, New York Mets, 4, 2, 1
Arizona D'Backs, San Diego Padres, 4, 5, 2
Oakland Athletics, San Francisco Giants, 6, 2, 1
Pittsburgh Pirates, St. Louis Cardinals, 7, 2, 1
Los Angeles Angels, Tampa Bay Rays, 6, 4, 1
Kansas City Royals, Texas Rangers, 1, 4, 2
Baltimore Orioles, Toronto Blue Jays, 2, 5, 2
Kansas City Royals, Boston Red Sox, 5, 6, 2
Philadelphia Phillies, Cincinnati Reds, 4, 12, 2
Detroit Tigers, Cleveland Indians, 5, 13, 2
Pittsburgh Pirates, Colorado Rockies, 0, 2, 2
Baltimore Orioles, Houston Astros, 9, 7, 1
San Francisco Giants, Los Angeles Dodgers, 2, 3, 2
Chicago Cubs, Milwaukee Brewers, 4, 14, 2
Los Angeles Angels, New York Yankees, 5, 3, 1
Arizona D'Backs, St. Louis Cardinals, 1, 7, 2
New York Mets, Washington Nationals, 4, 8, 2
New York Mets, Atlanta Braves, 4, 3, 1
Kansas City Royals, Boston Red Sox, 6, 7, 2
Minnesota Twins, Chicago White Sox, 6, 7, 2
San Diego Padres, Cincinnati Reds, 5, 4, 1
Pittsburgh Pirates, Colorado Rockies, 0, 8, 2
Baltimore Orioles, Houston Astros, 13, 3, 1
San Francisco Giants, Los Angeles Dodgers, 1, 3, 2
Chicago Cubs, Milwaukee Brewers, 1, 2, 2
Los Angeles Angels, New York Yankees, 5, 11, 2
Texas Rangers, Oakland Athletics, 5, 4, 1
Miami Marlins, Philadelphia Phillies, 3, 4, 2
Arizona D'Backs, St. Louis Cardinals, 2, 3, 2
Seattle Mariners, Toronto Blue Jays, 3, 9, 2
Tampa Bay Rays, Washington Nationals, 3, 4, 2
New York Mets, Atlanta Braves, 2, 20, 2
Kansas City Royals, Boston Red Sox, 2, 6, 2
Minnesota Twins, Chicago White Sox, 3, 13, 2
San Diego Padres, Cincinnati Reds, 7, 5, 1
Detroit Tigers, Cleveland Indians, 9, 4, 1
Detroit Tigers, Cleveland Indians, 7, 1, 1
Pittsburgh Pirates, Colorado Rockies, 2, 6, 2
Baltimore Orioles, Houston Astros, 5, 2, 1
Chicago Cubs, Milwaukee Brewers, 7, 15, 2
Los Angeles Angels, New York Yankees, 11, 8, 1
Texas Rangers, Oakland Athletics, 1, 3, 2
Miami Marlins, Philadelphia Phillies, 11, 6, 1
Arizona D'Backs, St. Louis Cardinals, 4, 7, 2
Seattle Mariners, Toronto Blue Jays, 9, 7, 1
Tampa Bay Rays, Washington Nationals, 6, 15, 2
San Francisco Giants, Arizona D'Backs, 3, 5, 2
New York Mets, Atlanta Braves, 3, 4, 2
Kansas City Royals, Boston Red Sox, 1, 15, 2
Minnesota Twins, Chicago White Sox, 5, 8, 2
San Diego Padres, Cincinnati Reds, 4, 5, 2
Houston Astros, Cleveland Indians, 7, 2, 1
St. Louis Cardinals, Colorado Rockies, 2, 5, 2
Texas Rangers, Oakland Athletics, 8, 3, 1
Milwaukee Brewers, Pittsburgh Pirates, 7, 2, 1
Seattle Mariners, Toronto Blue Jays, 7, 2, 1
Los Angeles Dodgers, Washington Nationals, 6, 2, 1
Baltimore Orioles, Los Angeles Angels, 7, 8, 2
San Francisco Giants, Arizona D'Backs, 11, 4, 1
Miami Marlins, Atlanta Braves, 0, 1, 2
Chicago Cubs, Cincinnati Reds, 1, 2, 2
Houston Astros, Cleveland Indians, 6, 3, 1
St. Louis Cardinals, Colorado Rockies, 9, 3, 1
Chicago White Sox, Detroit Tigers, 8, 2, 1
Minnesota Twins, Kansas City Royals, 4, 7, 2
Boston Red Sox, Oakland Athletics, 3, 2, 1
San Diego Padres, Philadelphia Phillies, 3, 4, 2
Milwaukee Brewers, Pittsburgh Pirates, 7, 2, 1
Texas Rangers, Seattle Mariners, 4, 5, 2
Tampa Bay Rays, Toronto Blue Jays, 1, 11, 2
Los Angeles Dodgers, Washington Nationals, 10, 5, 1
Baltimore Orioles, Los Angeles Angels, 1, 4, 2
San Francisco Giants, Arizona D'Backs, 6, 5, 1
Miami Marlins, Atlanta Braves, 3, 2, 1
Chicago Cubs, Cincinnati Reds, 2, 3, 2
Houston Astros, Cleveland Indians, 3, 2, 1
St. Louis Cardinals, Colorado Rockies, 2, 3, 2
Chicago White Sox, Detroit Tigers, 5, 11, 2
Minnesota Twins, Kansas City Royals, 3, 6, 2
New York Mets, New York Yankees, 8, 3, 1
Boston Red Sox, Oakland Athletics, 6, 7, 2
San Diego Padres, Philadelphia Phillies, 2, 4, 2
Milwaukee Brewers, Pittsburgh Pirates, 11, 2, 1
Texas Rangers, Seattle Mariners, 7, 3, 1
Tampa Bay Rays, Toronto Blue Jays, 3, 6, 2
Los Angeles Dodgers, Washington Nationals, 5, 3, 1
Baltimore Orioles, Los Angeles Angels, 5, 6, 2
San Francisco Giants, Arizona D'Backs, 5, 2, 1
Miami Marlins, Atlanta Braves, 7, 8, 2
Chicago Cubs, Cincinnati Reds, 2, 3, 2
Houston Astros, Cleveland Indians, 4, 3, 1
St. Louis Cardinals, Colorado Rockies, 2, 3, 2
Chicago White Sox, Detroit Tigers, 5, 6, 2
Minnesota Twins, Kansas City Royals, 6, 2, 1
New York Mets, New York Yankees, 10, 5, 1
New York Mets, New York Yankees, 2, 4, 2
Boston Red Sox, Oakland Athletics, 1, 0, 1
San Diego Padres, Philadelphia Phillies, 11, 1, 1
Milwaukee Brewers, Pittsburgh Pirates, 0, 2, 2
Texas Rangers, Seattle Mariners, 1, 4, 2
Tampa Bay Rays, Toronto Blue Jays, 5, 1, 1
Los Angeles Dodgers, Washington Nationals, 5, 1, 1
Boston Red Sox, Los Angeles Angels, 5, 4, 1
Philadelphia Phillies, Chicago Cubs, 13, 3, 1
Cincinnati Reds, Kansas City Royals, 6, 2, 1
Los Angeles Dodgers, Miami Marlins, 4, 5, 2
Chicago White Sox, Minnesota Twins, 5, 8, 2
Milwaukee Brewers, New York Mets, 2, 4, 2
Atlanta Braves, Pittsburgh Pirates, 1, 11, 2
Washington Nationals, San Diego Padres, 7, 5, 1
St. Louis Cardinals, San Francisco Giants, 5, 3, 1
Cleveland Indians, Tampa Bay Rays, 8, 9, 2
Detroit Tigers, Texas Rangers, 7, 3, 1
Boston Red Sox, Los Angeles Angels, 3, 5, 2
Colorado Rockies, Arizona D'Backs, 3, 4, 2
Toronto Blue Jays, Baltimore Orioles, 5, 7, 2
Philadelphia Phillies, Chicago Cubs, 15, 10, 1
Oakland Athletics, Houston Astros, 6, 9, 2
Cincinnati Reds, Kansas City Royals, 6, 7, 2
Los Angeles Dodgers, Miami Marlins, 1, 2, 2
Chicago White Sox, Minnesota Twins, 4, 1, 1
Atlanta Braves, Pittsburgh Pirates, 1, 2, 2
Washington Nationals, San Diego Padres, 4, 7, 2
New York Yankees, Seattle Mariners, 12, 1, 1
St. Louis Cardinals, San Francisco Giants, 6, 5, 1
Detroit Tigers, Texas Rangers, 5, 10, 2
Boston Red Sox, Los Angeles Angels, 4, 5, 2
Colorado Rockies, Arizona D'Backs, 4, 6, 2
Toronto Blue Jays, Baltimore Orioles, 10, 2, 1
Philadelphia Phillies, Chicago Cubs, 3, 8, 2
Oakland Athletics, Houston Astros, 3, 4, 2
Cincinnati Reds, Kansas City Royals, 5, 2, 1
Los Angeles Dodgers, Miami Marlins, 6, 9, 2
Chicago White Sox, Minnesota Twins, 6, 1, 1
Milwaukee Brewers, New York Mets, 3, 4, 2
Milwaukee Brewers, New York Mets, 5, 0, 1
Atlanta Braves, Pittsburgh Pirates, 14, 3, 1
Washington Nationals, San Diego Padres, 15, 5, 1
New York Yankees, Seattle Mariners, 5, 4, 1
St. Louis Cardinals, San Francisco Giants, 2, 5, 2
Cleveland Indians, Tampa Bay Rays, 1, 8, 2
Cleveland Indians, Tampa Bay Rays, 0, 4, 2
Detroit Tigers, Texas Rangers, 5, 3, 1
Colorado Rockies, Arizona D'Backs, 9, 3, 1
Philadelphia Phillies, Chicago Cubs, 8, 0, 1
Kansas City Royals, Cleveland Indians, 4, 7, 2
Oakland Athletics, Houston Astros, 2, 1, 1
Los Angeles Dodgers, Miami Marlins, 6, 1, 1
Cincinnati Reds, Milwaukee Brewers, 3, 5, 2
Detroit Tigers, Minnesota Twins, 3, 5, 2
Washington Nationals, San Diego Padres, 8, 9, 2
New York Yankees, Seattle Mariners, 0, 4, 2
Chicago White Sox, Baltimore Orioles, 12, 1, 1
Philadelphia Phillies, Boston Red Sox, 5, 11, 2
St. Louis Cardinals, Chicago Cubs, 5, 10, 2
Kansas City Royals, Cleveland Indians, 1, 2, 2
New York Yankees, Houston Astros, 4, 0, 1
Arizona D'Backs, Los Angeles Dodgers, 5, 2, 1
Atlanta Braves, Miami Marlins, 5, 0, 1
Cincinnati Reds, Milwaukee Brewers, 2, 0, 1
Detroit Tigers, Minnesota Twins, 2, 4, 2
Pittsburgh Pirates, New York Mets, 4, 13, 2
Colorado Rockies, San Diego Padres, 2, 4, 2
Los Angeles Angels, Seattle Mariners, 3, 7, 2
Washington Nationals, San Francisco Giants, 3, 5, 2
Toronto Blue Jays, Tampa Bay Rays, 1, 7, 2
Oakland Athletics, Texas Rangers, 2, 3, 2
Chicago White Sox, Baltimore Orioles, 8, 3, 1
Philadelphia Phillies, Boston Red Sox, 11, 2, 1
St. Louis Cardinals, Chicago Cubs, 6, 0, 1
Kansas City Royals, Cleveland Indians, 6, 14, 2
New York Yankees, Houston Astros, 1, 0, 1
Arizona D'Backs, Los Angeles Dodgers, 1, 22, 2
Atlanta Braves, Miami Marlins, 5, 4, 1
Cincinnati Reds, Milwaukee Brewers, 4, 3, 1
Detroit Tigers, Minnesota Twins, 4, 9, 2
Pittsburgh Pirates, New York Mets, 6, 2, 1
Pittsburgh Pirates, New York Mets, 2, 4, 2
Colorado Rockies, San Diego Padres, 3, 0, 1
Los Angeles Angels, Seattle Mariners, 0, 2, 2
Washington Nationals, San Francisco Giants, 4, 10, 2
Toronto Blue Jays, Tampa Bay Rays, 2, 5, 2
Oakland Athletics, Texas Rangers, 8, 4, 1
Chicago White Sox, Baltimore Orioles, 7, 5, 1
Philadelphia Phillies, Boston Red Sox, 5, 4, 1
New York Yankees, Houston Astros, 7, 8, 2
Arizona D'Backs, Los Angeles Dodgers, 4, 7, 2
Atlanta Braves, Miami Marlins, 4, 7, 2
Cincinnati Reds, Milwaukee Brewers, 3, 1, 1
Detroit Tigers, Minnesota Twins, 9, 12, 2
Pittsburgh Pirates, New York Mets, 6, 5, 1
Colorado Rockies, San Diego Padres, 3, 1, 1
Los Angeles Angels, Seattle Mariners, 7, 1, 1
Washington Nationals, San Francisco Giants, 1, 3, 2
Toronto Blue Jays, Tampa Bay Rays, 3, 1, 1
Oakland Athletics, Texas Rangers, 4, 1, 1
Seattle Mariners, Los Angeles Angels, 6, 5, 1
Chicago Cubs, Arizona D'Backs, 5, 1, 1
Tampa Bay Rays, Atlanta Braves, 7, 6, 1
Houston Astros, Chicago White Sox, 7, 1, 1
Milwaukee Brewers, Cincinnati Reds, 11, 6, 1
Los Angeles Dodgers, Colorado Rockies, 10, 4, 1
Baltimore Orioles, Kansas City Royals, 2, 9, 2
Boston Red Sox, New York Yankees, 4, 0, 1
Cleveland Indians, Oakland Athletics, 4, 5, 2
Miami Marlins, Philadelphia Phillies, 2, 5, 2
Miami Marlins, Philadelphia Phillies, 7, 0, 1
New York Mets, Pittsburgh Pirates, 1, 4, 2
San Francisco Giants, St. Louis Cardinals, 7, 2, 1
Texas Rangers, Toronto Blue Jays, 2, 10, 2
San Diego Padres, Washington Nationals, 24, 8, 1
Seattle Mariners, Los Angeles Angels, 4, 9, 2
Chicago Cubs, Arizona D'Backs, 4, 2, 1
Tampa Bay Rays, Atlanta Braves, 0, 9, 2
Houston Astros, Chicago White Sox, 1, 10, 2
Milwaukee Brewers, Cincinnati Reds, 7, 4, 1
Los Angeles Dodgers, Colorado Rockies, 9, 2, 1
Minnesota Twins, Detroit Tigers, 0, 1, 2
Minnesota Twins, Detroit Tigers, 4, 5, 2
Baltimore Orioles, Kansas City Royals, 8, 4, 1
Boston Red Sox, New York Yankees, 1, 3, 2
Cleveland Indians, Oakland Athletics, 3, 2, 1
Miami Marlins, Philadelphia Phillies, 2, 4, 2
New York Mets, Pittsburgh Pirates, 7, 9, 2
San Francisco Giants, St. Louis Cardinals, 1, 3, 2
San Diego Padres, Washington Nationals, 10, 4, 1
Seattle Mariners, Los Angeles Angels, 7, 4, 1
Chicago Cubs, Arizona D'Backs, 4, 6, 2
Tampa Bay Rays, Atlanta Braves, 7, 5, 1
Houston Astros, Chicago White Sox, 0, 4, 2
Milwaukee Brewers, Cincinnati Reds, 8, 0, 1
Los Angeles Dodgers, Colorado Rockies, 5, 6, 2
Minnesota Twins, Detroit Tigers, 0, 7, 2
Baltimore Orioles, Kansas City Royals, 5, 0, 1
Boston Red Sox, New York Yankees, 1, 9, 2
Cleveland Indians, Oakland Athletics, 4, 2, 1
Miami Marlins, Philadelphia Phillies, 4, 7, 2
New York Mets, Pittsburgh Pirates, 7, 6, 1
San Francisco Giants, St. Louis Cardinals, 1, 2, 2
Texas Rangers, Toronto Blue Jays, 0, 5, 2
Texas Rangers, Toronto Blue Jays, 0, 10, 2
San Diego Padres, Washington Nationals, 7, 8, 2
Pittsburgh Pirates, Arizona D'Backs, 2, 4, 2
Minnesota Twins, Chicago White Sox, 3, 2, 1
Minnesota Twins, Chicago White Sox, 3, 5, 2
New York Mets, Cincinnati Reds, 15, 11, 1
Texas Rangers, Detroit Tigers, 0, 14, 2
Cleveland Indians, Houston Astros, 3, 4, 2
San Francisco Giants, Los Angeles Dodgers, 7, 2, 1
Los Angeles Angels, Oakland Athletics, 1, 4, 2
Chicago Cubs, St. Louis Cardinals, 3, 8, 2
Baltimore Orioles, Tampa Bay Rays, 6, 1, 1
Boston Red Sox, Toronto Blue Jays, 13, 4, 1
Miami Marlins, Washington Nationals, 1, 18, 2
Pittsburgh Pirates, Arizona D'Backs, 6, 11, 2
San Diego Padres, Atlanta Braves, 1, 2, 2
Minnesota Twins, Chicago White Sox, 5, 9, 2
New York Mets, Cincinnati Reds, 3, 4, 2
Seattle Mariners, Colorado Rockies, 6, 4, 1
Texas Rangers, Detroit Tigers, 1, 4, 2
Cleveland Indians, Houston Astros, 3, 9, 2
San Francisco Giants, Los Angeles Dodgers, 6, 8, 2
Kansas City Royals, Milwaukee Brewers, 5, 2, 1
Philadelphia Phillies, New York Yankees, 4, 6, 2
Los Angeles Angels, Oakland Athletics, 0, 6, 2
Chicago Cubs, St. Louis Cardinals, 7, 6, 1
Baltimore Orioles, Tampa Bay Rays, 3, 9, 2
Miami Marlins, Washington Nationals, 3, 6, 2
Pittsburgh Pirates, Arizona D'Backs, 4, 6, 2
San Diego Padres, Atlanta Braves, 3, 2, 1
San Diego Padres, Atlanta Braves, 6, 5, 1
Minnesota Twins, Chicago White Sox, 7, 2, 1
New York Mets, Cincinnati Reds, 7, 0, 1
Seattle Mariners, Colorado Rockies, 3, 6, 2
Texas Rangers, Detroit Tigers, 2, 4, 2
Cleveland Indians, Houston Astros, 5, 4, 1
San Francisco Giants, Los Angeles Dodgers, 4, 2, 1
Kansas City Royals, Milwaukee Brewers, 6, 3, 1
Philadelphia Phillies, New York Yankees, 5, 6, 2
Chicago Cubs, St. Louis Cardinals, 2, 3, 2
Baltimore Orioles, Tampa Bay Rays, 4, 5, 2
Boston Red Sox, Toronto Blue Jays, 7, 4, 1
Miami Marlins, Washington Nationals, 3, 1, 1
New York Yankees, Boston Red Sox, 4, 5, 2
Tampa Bay Rays, Cleveland Indians, 5, 4, 1
Texas Rangers, Detroit Tigers, 5, 7, 2
San Francisco Giants, Los Angeles Dodgers, 5, 3, 1
San Diego Padres, Miami Marlins, 3, 2, 1
Los Angeles Angels, Minnesota Twins, 3, 2, 1
Atlanta Braves, Philadelphia Phillies, 7, 2, 1
Oakland Athletics, Seattle Mariners, 4, 1, 1
Chicago Cubs, St. Louis Cardinals, 2, 3, 2
Washington Nationals, Baltimore Orioles, 1, 6, 2
New York Yankees, Boston Red Sox, 2, 6, 2
Arizona D'Backs, Chicago Cubs, 3, 8, 2
St. Louis Cardinals, Cincinnati Reds, 5, 6, 2
Tampa Bay Rays, Cleveland Indians, 10, 5, 1
Texas Rangers, Houston Astros, 3, 7, 2
Detroit Tigers, Kansas City Royals, 3, 5, 2
Colorado Rockies, Los Angeles Dodgers, 9, 6, 1
San Diego Padres, Miami Marlins, 5, 2, 1
Chicago White Sox, Milwaukee Brewers, 1, 7, 2
Los Angeles Angels, Minnesota Twins, 4, 5, 2
Toronto Blue Jays, New York Mets, 0, 3, 2
Atlanta Braves, Philadelphia Phillies, 1, 5, 2
Oakland Athletics, Seattle Mariners, 3, 4, 2
Pittsburgh Pirates, San Francisco Giants, 6, 4, 1
Washington Nationals, Baltimore Orioles, 3, 5, 2
New York Yankees, Boston Red Sox, 4, 3, 1
Arizona D'Backs, Chicago Cubs, 7, 3, 1
St. Louis Cardinals, Cincinnati Reds, 3, 5, 2
Tampa Bay Rays, Cleveland Indians, 8, 2, 1
Texas Rangers, Houston Astros, 1, 4, 2
Detroit Tigers, Kansas City Royals, 8, 9, 2
Colorado Rockies, Los Angeles Dodgers, 0, 1, 2
San Diego Padres, Miami Marlins, 2, 3, 2
Chicago White Sox, Milwaukee Brewers, 1, 6, 2
Los Angeles Angels, Minnesota Twins, 2, 1, 1
Toronto Blue Jays, New York Mets, 10, 3, 1
Atlanta Braves, Philadelphia Phillies, 15, 3, 1
Oakland Athletics, Seattle Mariners, 4, 5, 2
Pittsburgh Pirates, San Francisco Giants, 10, 2, 1
Washington Nationals, Baltimore Orioles, 4, 5, 2
New York Yankees, Boston Red Sox, 4, 5, 2
Arizona D'Backs, Chicago Cubs, 1, 5, 2
St. Louis Cardinals, Cincinnati Reds, 10, 6, 1
Tampa Bay Rays, Cleveland Indians, 2, 3, 2
Texas Rangers, Houston Astros, 1, 3, 2
Detroit Tigers, Kansas City Royals, 1, 6, 2
Colorado Rockies, Los Angeles Dodgers, 2, 3, 2
San Diego Padres, Miami Marlins, 3, 9, 2
Chicago White Sox, Milwaukee Brewers, 3, 1, 1
Los Angeles Angels, Minnesota Twins, 6, 2, 1
Toronto Blue Jays, New York Mets, 4, 5, 2
Atlanta Braves, Philadelphia Phillies, 1, 2, 2
Oakland Athletics, Seattle Mariners, 3, 4, 2
Pittsburgh Pirates, San Francisco Giants, 1, 6, 2
Colorado Rockies, Los Angeles Angels, 2, 6, 2
Toronto Blue Jays, Boston Red Sox, 4, 5, 2
Cincinnati Reds, Chicago Cubs, 5, 6, 2
Chicago White Sox, Kansas City Royals, 3, 4, 2
Detroit Tigers, Minnesota Twins, 5, 6, 2
Atlanta Braves, New York Mets, 2, 0, 1
Atlanta Braves, New York Mets, 0, 1, 2
Washington Nationals, Philadelphia Phillies, 5, 6, 2
Houston Astros, Seattle Mariners, 8, 11, 2
Colorado Rockies, Los Angeles Angels, 12, 3, 1
Miami Marlins, Baltimore Orioles, 7, 3, 1
Cincinnati Reds, Chicago Cubs, 7, 4, 1
St. Louis Cardinals, Cleveland Indians, 4, 2, 1
Chicago White Sox, Kansas City Royals, 5, 3, 1
Detroit Tigers, Minnesota Twins, 6, 5, 1
Atlanta Braves, New York Mets, 12, 5, 1
Washington Nationals, Philadelphia Phillies, 6, 4, 1
Milwaukee Brewers, Pittsburgh Pirates, 9, 0, 1
Oakland Athletics, San Diego Padres, 4, 7, 2
Houston Astros, Seattle Mariners, 8, 6, 1
Los Angeles Dodgers, San Francisco Giants, 1, 2, 2
New York Yankees, Tampa Bay Rays, 4, 3, 1
Arizona D'Backs, Texas Rangers, 4, 5, 2
Colorado Rockies, Los Angeles Angels, 7, 8, 2
